Door Model,Size,Glass Options,Jamb Sizes,Hinge Finish,Sill Finish,Handle Prep,Swing
,,,,,,,
Andalucia 4lt ,2/6 x 6/8 SS,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,3/6 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,7/0 x 8/0 DS,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 S2,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,3/0 x 6/8 w/ 1/0 Transom SST,,,,,,
,3/0 x 8/0 w/ 1/0 Transom SST,,,,,,
,,,,,,,
Andalucia 6lt ,2/6 x 6/8 SS,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,3/6 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,7/0 x 8/0 DS,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 S2,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,3/0 x 6/8 w/ 1/0 Transom SST,,,,,,
,3/0 x 8/0 w/ 1/0 Transom SST,,,,,,
,,,,,,,
Andalucia 8lt,2/6 x 8/0 SS,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 8/0 SS,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 8/0 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,5/0 x 8/0 DS,,,,,No Bore,Left Hand Outswing
,5/4 x 8/0 DS,,,,,Other (Please Specify),
,6/0 x 8/0 DS,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,,,,,,,
Andalucia 9lt Prairie,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/6 x 8/0 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,2/8 x 8/0 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,3/0 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,6/0 x 6/8 SS,,,,,Other (Please Specify),
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 S2,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,,,,,,,
Andalucia 1W3H,2/6 x 8/0 SS,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 8/0 SS,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 8/0 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,5/0 x 8/0 DS,,,,,No Bore,Left Hand Outswing
,5/4 x 8/0 DS,,,,,Other (Please Specify),
,6/0 x 8/0 DS,,,,,,
,,,,,,,
Miranda 4lt,3/0 x 8/0 SA,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,5/0 x 8/0 AP,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,5/4 x 8/0 AP,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,6/0 x 8/0 AP,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
Miranda 6lt,3/0 x 8/0 SA,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,5/0 x 8/0 AP,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,5/4 x 8/0 AP,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,6/0 x 8/0 AP,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Miranda 7lt Diamond,3/0 x 8/0 SA,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,5/0 x 8/0 AP,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,5/4 x 8/0 AP,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,6/0 x 8/0 AP,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
Miranda 9lt Prairie,5/0 x 8/0 AP,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,5/4 x 8/0 AP,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,6/0 x 8/0 AP,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Santa Fe,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/6 x 8/0 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,2/8 x 8/0 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,3/0 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,6/0 x 6/8 SS,,,,,Other (Please Specify),
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 S2,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,,,,,,,
Highlands,5/0 x 8/0 DS,Clear Bevel ,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,5/4 x 8/0 DS,Flemish,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,6/0 x 8/0 DS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,,
Palermo 3lt,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,3/0 x 8/0 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 S2,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,No Bore,Left Hand Outswing
,1/0 x 3/0 x 1/0 x 6/8 S2-5L,,,,,Other (Please Specify),
,1/0 x 3/0 x 1/0 x 8/0 S2-5L,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3-5L,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3-5L,,,,,,
,,,,,,,
Palermo 6lt,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,3/0 x 8/0 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 S2,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,1/0 x 3/0 x 1/0 x 8/0 S2,,,,,No Bore,Left Hand Outswing
,1/0 x 3/0 x 1/0 x 6/8 S2-5L,,,,,Other (Please Specify),
,1/0 x 3/0 x 1/0 x 8/0 S2-5L,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3,,,,,,
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3-5L,,,,,,
,1/0 x 3/0 x 1/0 x 8/0 w/ 1/0 Transom S3-5L,,,,,,
,,,,,,,
Ventura,3/0 x 6/8 SS,Clear Bevel,"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 S2,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,1/0 x 3/0 x 1/0 x 6/8 w/ 1/0 Transom S3,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Portland,3/0 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,6/0 x 8/0 DS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Tacoma,3/0 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,6/0 x 8/0 DS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Meridian 4lt,3/6 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Meridian 9lt,3/6 x 8/0 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Ridgeland,3/6 x 8/0 SA,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Savannah 1lt,2/6 x 6/8 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,,,,,,,
Savannah Full View,2/6 x 6/8 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,